timestamp,elapsed_s,cpu_percent,ram_percent,ram_used_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb
2026-07-31T19:58:07,454.1,17.5,48.3,15.38,38.0,1550.0,8192.0
2026-07-31T19:58:09,456.1,18.8,48.3,15.38,38.0,1554.0,8192.0
2026-07-31T19:58:11,458.2,22.6,48.3,15.38,28.0,1564.0,8192.0
2026-07-31T19:58:13,460.3,20.0,48.3,15.38,38.0,1551.0,8192.0
2026-07-31T19:58:15,462.3,16.5,48.3,15.38,37.0,1551.0,8192.0
2026-07-31T19:58:17,464.3,19.5,48.3,15.38,38.0,1556.0,8192.0
2026-07-31T19:58:19,466.4,29.7,48.4,15.4,40.0,1554.0,8192.0
2026-07-31T19:58:22,468.5,21.3,48.4,15.41,38.0,1551.0,8192.0
2026-07-31T19:58:24,470.5,21.6,48.4,15.41,39.0,1556.0,8192.0
2026-07-31T19:58:26,472.6,20.5,48.4,15.41,38.0,1556.0,8192.0
2026-07-31T19:58:28,474.6,24.1,48.4,15.42,25.0,1551.0,8192.0
2026-07-31T19:58:30,476.7,21.5,48.4,15.41,35.0,1551.0,8192.0
2026-07-31T19:58:32,478.7,18.1,48.4,15.41,30.0,1551.0,8192.0
2026-07-31T19:58:34,480.8,22.8,48.4,15.41,34.0,1556.0,8192.0
2026-07-31T19:58:36,482.8,23.8,48.4,15.41,31.0,1556.0,8192.0
2026-07-31T19:58:38,484.9,20.0,48.4,15.41,32.0,1551.0,8192.0
2026-07-31T19:58:40,486.9,16.6,48.4,15.41,34.0,1556.0,8192.0
2026-07-31T19:58:42,489.0,18.9,48.4,15.4,33.0,1556.0,8192.0
2026-07-31T19:58:44,491.1,23.4,48.4,15.4,26.0,1551.0,8192.0
2026-07-31T19:58:46,493.1,21.5,48.4,15.4,31.0,1551.0,8192.0
2026-07-31T19:58:48,495.2,19.3,48.4,15.41,31.0,1557.0,8192.0
2026-07-31T19:58:50,497.2,19.2,48.4,15.4,31.0,1556.0,8192.0
2026-07-31T19:58:52,499.3,19.9,48.4,15.4,28.0,1551.0,8192.0
2026-07-31T19:58:54,501.3,23.4,48.3,15.4,31.0,1556.0,8192.0
2026-07-31T19:58:56,503.4,19.2,48.4,15.4,24.0,1556.0,8192.0
2026-07-31T19:58:58,505.4,17.0,48.4,15.4,36.0,1551.0,8192.0
2026-07-31T19:59:01,507.5,23.3,48.4,15.4,37.0,1551.0,8192.0
